date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-01-02,107.21,108.85,105.7,107.52,20611589.0,2213454651.0,1202589511.0,0.01713933874482296
2020-01-03,107.52,110.19,105.97,109.55,18084178.0,1956828809.0,1202589511.0,0.01503769809613781
2020-01-06,111.3,114.5,107.8,109.09,26500200.0,2958351780.0,1202589511.0,0.02203594805842274
2020-01-07,109.01,109.64,107.41,108.5,13507544.0,1461154189.0,1202589511.0,0.011232048738532528
2020-01-08,109.01,111.5,107.1,109.6,19224068.0,2098374347.0,1202589511.0,0.01598556101159941
2020-01-09,112.0,115.5,110.01,115.0,20164351.0,2287090666.0,1202589511.0,0.016767442935064814
2020-01-10,114.2,114.2,111.68,113.31,14428007.0,1628569248.0,1202589511.0,0.011997449560326326
2020-01-13,116.0,118.48,114.2,116.9,21597445.0,2516539925.0,1202589511.0,0.017959116392126922
2020-01-14,119.51,120.75,115.18,115.7,21768473.0,2585867747.0,1202589511.0,0.018101332832928724
2020-01-15,115.7,117.58,112.21,115.3,17758720.0,2031327383.0,1202589511.0,0.01476706709776051
2020-01-16,116.0,116.5,113.85,116.4,12934158.0,1492301747.0,1202589511.0,0.010755255955329881
2020-01-17,116.36,117.56,114.0,115.08,14662407.0,1694771901.0,1202589511.0,0.012192362286452705
2020-01-20,114.99,125.08,112.9,123.2,24892200.0,2992287057.0,1202589511.0,0.02069883345257283
2020-01-21,122.51,123.0,120.46,121.65,14267108.0,1734790907.0,1202589511.0,0.01186365577738687
2020-01-22,121.65,133.82,119.38,133.82,34991561.0,4493837402.0,1202589511.0,0.029096845332455257
2020-01-23,132.5,137.0,125.1,130.57,35986224.0,4755930193.0,1202589511.0,0.029923946343150834
2020-02-03,126.56,143.48,126.5,135.36,52634602.0,7148822247.0,1202589511.0,0.04376772083787117
2020-02-04,145.77,148.9,140.01,148.9,35913583.0,5283954890.0,1202589511.0,0.02986354252344714
2020-02-05,158.17,163.79,156.3,163.79,53082382.0,8588999757.0,1202589511.0,0.04414006734173154
2020-02-06,155.01,169.89,152.99,169.89,57918993.0,9265610936.0,1202589511.0,0.04816189769677777
2020-02-07,166.0,169.33,158.95,160.2,45499480.0,7426674365.0,1202589511.0,0.037834589096129245
2020-02-10,161.0,168.58,160.0,165.26,37540921.0,6161572537.0,1202589511.0,0.031216737429202474
2020-02-11,167.2,168.0,157.6,158.4,33994559.0,5451183357.0,1202589511.0,0.028267799352193087
2020-02-12,153.55,161.84,152.03,159.65,32586206.0,5174595056.0,1202589511.0,0.02709669899989673
2020-02-13,155.99,159.38,153.69,156.34,31360960.0,4914616428.0,1202589511.0,0.0260778592471858
2020-02-14,158.9,159.9,148.86,149.9,43961853.0,6739413555.0,1202589511.0,0.03655599237968075
2020-02-17,149.0,156.16,148.88,154.1,34447133.0,5309578996.0,1202589511.0,0.028644132253702985
2020-02-18,154.1,159.0,152.85,156.62,28230513.0,4400767114.0,1202589511.0,0.023474770685905307
2020-02-19,165.0,165.1,152.89,153.2,41816783.0,6598898914.0,1202589511.0,0.03477228315855484
2020-02-20,156.5,165.0,153.0,160.0,51844020.0,8254242623.0,1202589511.0,0.043110321124362444
2020-02-21,157.8,162.5,155.22,159.9,33805137.0,5376640660.0,1202589511.0,0.02811028758423954
2020-02-24,157.0,159.85,152.48,154.41,36523081.0,5670550935.0,1202589511.0,0.030370363840633897
2020-02-25,149.74,165.5,148.84,161.85,51602630.0,8116792625.0,1202589511.0,0.0429095959410875
2020-02-26,158.7,160.85,150.7,152.86,33827986.0,5273485009.0,1202589511.0,0.02812928741734219
2020-02-27,155.1,156.66,148.8,149.48,33200245.0,5062343300.0,1202589511.0,0.02760729633538272
2020-02-28,139.99,145.0,135.51,135.67,50844719.0,7090643686.0,1202589511.0,0.04227936343609104
2020-03-02,138.8,141.95,134.95,139.99,31815002.0,4426474527.0,1202589511.0,0.02645541284785079
2020-03-03,146.0,149.69,143.9,145.78,29691061.0,4366384639.0,1202589511.0,0.024689273212861077
2020-03-04,143.99,145.88,139.78,143.7,20594614.0,2945905656.0,1202589511.0,0.017125223371418547
2020-03-05,146.54,147.83,142.0,145.22,22463328.0,3254884224.0,1202589511.0,0.01867913181890375
2020-03-06,142.01,147.3,141.5,143.52,15980869.0,2309879439.0,1202589511.0,0.0132887147724341
2020-03-09,138.99,140.9,133.0,133.45,29425285.0,4022533012.0,1202589511.0,0.024468270121141944
2020-03-10,133.61,141.69,133.01,140.53,29274470.0,4026499804.0,1202589511.0,0.024342861576812806
2020-03-11,143.0,148.58,138.8,140.78,33923207.0,4857506589.0,1202589511.0,0.028208467386175298
2020-03-12,136.2,136.77,131.32,134.2,33385759.0,4454589855.0,1202589511.0,0.02776155844918225
2020-03-13,126.1,133.8,126.01,132.1,27455284.0,3557983787.0,1202589511.0,0.022830137589650072
2020-03-16,128.0,128.88,118.89,119.06,49048485.0,5992811656.0,1202589511.0,0.04078572493054116
2020-03-17,121.0,122.93,111.25,117.95,39220328.0,4571660104.0,1202589511.0,0.03261322973571154
2020-03-18,118.9,123.5,116.0,117.35,31338376.0,3757216350.0,1202589511.0,0.026059079771900653
